# z r Bz Br
#--------------------
 -345 32 0.000434 -0.000166
 -345 33 0.000432 -0.000171
 -345 34 0.00043 -0.000176
 -345 35 0.000428 -0.000181
 -345 36 0.000426 -0.000185
 -345 37 0.000424 -0.00019
 -345 38 0.000422 -0.000196
 -345 39 0.00042 -0.0002
 -345 40 0.000418 -0.000205
 -345 41 0.000415 -0.00021
 -345 42 0.000413 -0.000214
 -345 43 0.000411 -0.000219
 -345 44 0.000408 -0.000224
 -345 45 0.000406 -0.000229
 -345 46 0.000403 -0.000234
 -345 47 0.000401 -0.000238
 -345 48 0.000399 -0.000243
 -345 49 0.000396 -0.000247
 -345 50 0.000393 -0.000252
 -344 0 0.000473 0
 -344 1 0.000474 -0.000005
 -344 2 0.000474 -0.00001
 -344 3 0.000473 -0.000016
 -344 4 0.000473 -0.000021
 -344 5 0.000473 -0.000026
 -344 6 0.000473 -0.000032
 -344 7 0.000472 -0.000037
 -344 8 0.000472 -0.000042
 -344 9 0.000471 -0.000048
 -344 10 0.000471 -0.000053
 -344 11 0.00047 -0.000059
 -344 12 0.000469 -0.000064
 -344 13 0.000469 -0.000069
 -344 14 0.000467 -0.000075
 -344 15 0.000467 -0.00008
 -344 16 0.000466 -0.000085
 -344 17 0.000465 -0.00009
 -344 18 0.000463 -0.000095
 -344 19 0.000463 -0.000101
 -344 20 0.000462 -0.000106
 -344 21 0.000461 -0.000111
 -344 22 0.000459 -0.000116
 -344 23 0.000458 -0.000121
 -344 24 0.000456 -0.000126
 -344 25 0.000455 -0.000131
 -344 26 0.000454 -0.000137
 -344 27 0.000452 -0.000142
 -344 28 0.00045 -0.000147
 -344 29 0.000448 -0.000152
 -344 30 0.000448 -0.000158
 -344 31 0.000445 -0.000162
 -344 32 0.000444 -0.000168
 -344 33 0.000442 -0.000172
 -344 34 0.00044 -0.000177
 -344 35 0.000438 -0.000183
 -344 36 0.000436 -0.000188
 -344 37 0.000434 -0.000193
 -344 38 0.000432 -0.000198
 -344 39 0.00043 -0.000202
 -344 40 0.000428 -0.000207
 -344 41 0.000425 -0.000212
 -344 42 0.000423 -0.000217
 -344 43 0.000421 -0.000222
 -344 44 0.000418 -0.000227
 -344 45 0.000416 -0.000232
 -344 46 0.000413 -0.000236
 -344 47 0.00041 -0.000241
 -344 48 0.000408 -0.000246
 -344 49 0.000405 -0.00025
 -344 50 0.000403 -0.000255
 -343 0 0.000484 0
 -343 1 0.000484 -0.000006
 -343 2 0.000484 -0.000011
 -343 3 0.000483 -0.000016
 -343 4 0.000483 -0.000022
 -343 5 0.000484 -0.000027
 -343 6 0.000484 -0.000032
 -343 7 0.000483 -0.000038
 -343 8 0.000482 -0.000043
 -343 9 0.000481 -0.000048
 -343 10 0.000481 -0.000053
 -343 11 0.000481 -0.000059
